SEQUENCE,CLASSIFICATION
SRR20766474.2091.1,Non-viral
SRR20766474.2094.1,Non-viral
SRR20766474.2095.1,Non-viral
SRR20766474.2096.1,Non-viral
SRR20766474.2098.1,Non-viral
SRR20766474.2099.1,Non-viral
SRR20766474.2100.1,Non-viral
SRR20766474.2110.1,Non-viral
SRR20766474.2116.1,Non-viral
SRR20766474.2117.1,Non-viral
SRR20766474.2126.1,Non-viral
SRR20766474.2130.1,Non-viral
SRR20766474.2135.1,Non-viral
SRR20766474.2136.1,Non-viral
SRR20766474.2143.1,Non-viral
SRR20766474.2144.1,Non-viral
SRR20766474.2146.1,Non-viral
SRR20766474.2150.1,Non-viral
SRR20766474.2151.1,Non-viral
SRR20766474.2152.1,Non-viral
SRR20766474.2156.1,Non-viral
SRR20766474.2157.1,Non-viral
SRR20766474.2160.1,Non-viral
SRR20766474.2161.1,Non-viral
SRR20766474.2165.1,Non-viral
SRR20766474.2168.1,Non-viral
SRR20766474.2174.1,Non-viral
SRR20766474.2185.1,Non-viral
SRR20766474.2186.1,Non-viral
SRR20766474.2188.1,Non-viral
SRR20766474.2189.1,Non-viral
SRR20766474.2192.1,Non-viral
SRR20766474.2196.1,Non-viral
SRR20766474.2199.1,Non-viral
SRR20766474.2201.1,Non-viral
SRR20766474.2202.1,Non-viral
SRR20766474.2205.1,Non-viral
SRR20766474.2206.1,Non-viral
SRR20766474.2208.1,Non-viral
SRR20766474.2209.1,Non-viral
SRR20766474.2210.1,Non-viral
SRR20766474.2212.1,Non-viral
SRR20766474.2214.1,Non-viral
SRR20766474.2220.1,Non-viral
SRR20766474.2227.1,Non-viral
SRR20766474.2235.1,Non-viral
SRR20766474.2236.1,Non-viral
SRR20766474.2237.1,Non-viral
SRR20766474.2242.1,Non-viral
SRR20766474.2247.1,Non-viral
SRR20766474.2249.1,Non-viral
SRR20766474.2252.1,Non-viral
SRR20766474.2253.1,Non-viral
SRR20766474.2255.1,Non-viral
SRR20766474.2256.1,Non-viral
SRR20766474.2258.1,Non-viral
SRR20766474.2259.1,Non-viral
SRR20766474.2263.1,Non-viral
SRR20766474.2264.1,Non-viral
SRR20766474.2265.1,Non-viral
SRR20766474.2271.1,Non-viral
SRR20766474.2272.1,Non-viral
SRR20766474.2275.1,Non-viral
SRR20766474.2276.1,Non-viral
SRR20766474.2277.1,Non-viral
SRR20766474.2281.1,Non-viral
SRR20766474.2282.1,Non-viral
SRR20766474.2285.1,Non-viral
SRR20766474.2286.1,Non-viral
SRR20766474.2287.1,Non-viral
SRR20766474.2294.1,Non-viral
SRR20766474.2296.1,Non-viral
SRR20766474.2304.1,Non-viral
SRR20766474.2308.1,Non-viral
SRR20766474.2310.1,Non-viral
SRR20766474.2311.1,Non-viral
SRR20766474.2312.1,Non-viral
SRR20766474.2313.1,Non-viral
SRR20766474.2317.1,Non-viral
SRR20766474.2319.1,Non-viral
SRR20766474.2322.1,Non-viral
SRR20766474.2327.1,Non-viral
SRR20766474.2339.1,Non-viral
SRR20766474.2342.1,Non-viral
SRR20766474.2343.1,Non-viral
SRR20766474.2344.1,Non-viral
SRR20766474.2346.1,Non-viral
SRR20766474.2349.1,Non-viral
SRR20766474.2351.1,Non-viral
SRR20766474.2353.1,Non-viral
SRR20766474.2356.1,Non-viral
SRR20766474.2361.1,Non-viral
SRR20766474.2369.1,Non-viral
SRR20766474.2377.1,Non-viral
SRR20766474.2380.1,Non-viral
SRR20766474.2383.1,Non-viral
SRR20766474.2387.1,Non-viral
SRR20766474.2388.1,Non-viral
SRR20766474.2389.1,Non-viral
SRR20766474.2390.1,Non-viral
SRR20766474.2395.1,Non-viral
SRR20766474.2396.1,Non-viral
SRR20766474.2397.1,Non-viral
SRR20766474.2398.1,Non-viral
SRR20766474.2399.1,Non-viral
SRR20766474.2406.1,Non-viral
SRR20766474.2407.1,Non-viral
SRR20766474.2408.1,Non-viral
SRR20766474.2409.1,Non-viral
SRR20766474.2413.1,Non-viral
SRR20766474.2414.1,Non-viral
SRR20766474.2419.1,Non-viral
SRR20766474.2420.1,Non-viral
SRR20766474.2421.1,Non-viral
SRR20766474.2422.1,Non-viral
SRR20766474.2423.1,Non-viral
SRR20766474.2424.1,Non-viral
SRR20766474.2425.1,Non-viral
SRR20766474.2426.1,Non-viral
SRR20766474.2431.1,Non-viral
SRR20766474.2438.1,Non-viral
SRR20766474.2439.1,Non-viral
SRR20766474.2444.1,Non-viral
SRR20766474.2445.1,Non-viral
SRR20766474.2450.1,Non-viral
SRR20766474.2451.1,Non-viral
SRR20766474.2456.1,Non-viral
SRR20766474.2462.1,Non-viral
SRR20766474.2464.1,Non-viral
SRR20766474.2467.1,Non-viral
SRR20766474.2469.1,Non-viral
SRR20766474.2470.1,Non-viral
SRR20766474.2471.1,Non-viral
SRR20766474.2472.1,Non-viral
SRR20766474.2474.1,Non-viral
SRR20766474.2477.1,Non-viral
SRR20766474.2479.1,Non-viral
SRR20766474.2486.1,Non-viral
SRR20766474.2491.1,Non-viral
SRR20766474.2492.1,Non-viral
SRR20766474.2493.1,Non-viral
SRR20766474.2494.1,Non-viral
SRR20766474.2496.1,Non-viral
SRR20766474.2503.1,Non-viral
SRR20766474.2507.1,Non-viral
SRR20766474.2508.1,Non-viral
SRR20766474.2510.1,Non-viral
SRR20766474.2511.1,Non-viral
SRR20766474.2512.1,Non-viral
SRR20766474.2516.1,Non-viral
SRR20766474.2518.1,Non-viral
SRR20766474.2520.1,Non-viral
SRR20766474.2522.1,Non-viral
SRR20766474.2523.1,Non-viral
SRR20766474.2525.1,Non-viral
SRR20766474.2526.1,Non-viral
SRR20766474.2534.1,Non-viral
SRR20766474.2539.1,Non-viral
SRR20766474.2542.1,Non-viral
SRR20766474.2546.1,Non-viral
SRR20766474.2551.1,Non-viral
SRR20766474.2553.1,Non-viral
SRR20766474.2555.1,Non-viral
SRR20766474.2558.1,Non-viral
SRR20766474.2561.1,Non-viral
SRR20766474.2562.1,Non-viral
SRR20766474.2563.1,Non-viral
SRR20766474.2564.1,Non-viral
SRR20766474.2570.1,Non-viral
SRR20766474.2572.1,Non-viral
SRR20766474.2573.1,Non-viral
SRR20766474.2574.1,Non-viral
SRR20766474.2576.1,Non-viral
SRR20766474.2578.1,Non-viral
SRR20766474.2580.1,Non-viral
SRR20766474.2583.1,Non-viral
SRR20766474.2585.1,Non-viral
SRR20766474.2587.1,Non-viral
SRR20766474.2588.1,Non-viral
SRR20766474.2589.1,Non-viral
SRR20766474.2594.1,Non-viral
SRR20766474.2597.1,Non-viral
SRR20766474.2600.1,Non-viral
SRR20766474.2612.1,Non-viral
SRR20766474.2617.1,Non-viral
SRR20766474.2619.1,Non-viral
SRR20766474.2624.1,Non-viral
SRR20766474.2627.1,Non-viral
SRR20766474.2635.1,Non-viral
SRR20766474.2636.1,Non-viral
SRR20766474.2638.1,Non-viral
SRR20766474.2640.1,Non-viral
SRR20766474.2641.1,Non-viral
SRR20766474.2642.1,Non-viral
SRR20766474.2643.1,Non-viral
SRR20766474.2645.1,Non-viral
SRR20766474.2647.1,Non-viral
SRR20766474.2650.1,Non-viral
SRR20766474.2651.1,Non-viral
SRR20766474.2653.1,Non-viral
SRR20766474.2655.1,Non-viral
SRR20766474.2660.1,Non-viral
SRR20766474.2675.1,Non-viral
SRR20766474.2678.1,Non-viral
SRR20766474.2680.1,Non-viral
SRR20766474.2682.1,Non-viral
SRR20766474.2685.1,Non-viral
SRR20766474.2686.1,Non-viral
SRR20766474.2696.1,Non-viral
SRR20766474.2703.1,Non-viral
SRR20766474.2709.1,Non-viral
SRR20766474.2710.1,Non-viral
SRR20766474.2714.1,Non-viral
SRR20766474.2717.1,Non-viral
SRR20766474.2723.1,Non-viral
SRR20766474.2724.1,Non-viral
SRR20766474.2726.1,Non-viral
SRR20766474.2728.1,Non-viral
SRR20766474.2730.1,Non-viral
SRR20766474.2733.1,Non-viral
SRR20766474.2737.1,Non-viral
SRR20766474.2740.1,Non-viral
SRR20766474.2745.1,Non-viral
SRR20766474.2746.1,Non-viral
SRR20766474.2748.1,Non-viral
SRR20766474.2749.1,Non-viral
SRR20766474.2752.1,Non-viral
SRR20766474.2753.1,Non-viral
SRR20766474.2757.1,Non-viral
SRR20766474.2759.1,Non-viral
SRR20766474.2764.1,Non-viral
SRR20766474.2765.1,Non-viral
SRR20766474.2766.1,Non-viral
SRR20766474.2771.1,Non-viral
SRR20766474.2774.1,Non-viral
SRR20766474.2777.1,Non-viral
SRR20766474.2779.1,Non-viral
SRR20766474.2781.1,Non-viral
SRR20766474.2783.1,Non-viral
SRR20766474.2785.1,Non-viral
SRR20766474.2787.1,Non-viral
SRR20766474.2789.1,Non-viral
SRR20766474.2791.1,Non-viral
SRR20766474.2795.1,Non-viral
SRR20766474.2799.1,Non-viral
SRR20766474.2800.1,Non-viral
SRR20766474.2801.1,Non-viral
SRR20766474.2806.1,Non-viral
SRR20766474.2807.1,Non-viral
SRR20766474.2808.1,Non-viral
SRR20766474.2809.1,Non-viral
SRR20766474.2811.1,Non-viral
SRR20766474.2812.1,Non-viral
SRR20766474.2814.1,Non-viral
SRR20766474.2819.1,Non-viral
SRR20766474.2820.1,Non-viral
SRR20766474.2821.1,Non-viral
SRR20766474.2829.1,Non-viral
SRR20766474.2831.1,Non-viral
SRR20766474.2832.1,Non-viral
SRR20766474.2833.1,Non-viral
SRR20766474.2836.1,Non-viral
SRR20766474.2839.1,Non-viral
SRR20766474.2842.1,Non-viral
SRR20766474.2847.1,Non-viral
SRR20766474.2852.1,Non-viral
SRR20766474.2854.1,Non-viral
SRR20766474.2857.1,Non-viral
SRR20766474.2864.1,Non-viral
SRR20766474.2865.1,Non-viral
SRR20766474.2866.1,Non-viral
SRR20766474.2869.1,Non-viral
SRR20766474.2874.1,Non-viral
SRR20766474.2876.1,Non-viral
SRR20766474.2877.1,Non-viral
SRR20766474.2882.1,Non-viral
SRR20766474.2887.1,Non-viral
SRR20766474.2888.1,Non-viral
SRR20766474.2889.1,Non-viral
SRR20766474.2895.1,Non-viral
SRR20766474.2896.1,Non-viral
SRR20766474.2898.1,Non-viral
SRR20766474.2905.1,Non-viral
SRR20766474.2906.1,Non-viral
SRR20766474.2909.1,Non-viral
SRR20766474.2910.1,Non-viral
SRR20766474.2912.1,Non-viral
SRR20766474.2914.1,Non-viral
SRR20766474.2915.1,Non-viral
SRR20766474.2917.1,Non-viral
SRR20766474.2918.1,Non-viral
SRR20766474.2919.1,Non-viral
SRR20766474.2928.1,Non-viral
SRR20766474.2930.1,Non-viral
SRR20766474.2931.1,Non-viral
SRR20766474.2936.1,Non-viral
SRR20766474.2937.1,Non-viral
SRR20766474.2938.1,Non-viral
SRR20766474.2939.1,Non-viral
SRR20766474.2941.1,Non-viral
SRR20766474.2945.1,Non-viral
SRR20766474.2954.1,Non-viral
SRR20766474.2955.1,Non-viral
SRR20766474.2960.1,Non-viral
SRR20766474.2961.1,Non-viral
SRR20766474.2966.1,Non-viral
SRR20766474.2969.1,Non-viral
SRR20766474.2971.1,Non-viral
SRR20766474.2972.1,Non-viral
SRR20766474.2974.1,Non-viral
SRR20766474.2978.1,Non-viral
SRR20766474.2980.1,Non-viral
SRR20766474.2986.1,Non-viral
SRR20766474.2988.1,Non-viral
SRR20766474.2989.1,Non-viral
SRR20766474.2990.1,Non-viral
SRR20766474.2992.1,Non-viral
SRR20766474.2994.1,Non-viral
SRR20766474.2997.1,Non-viral
SRR20766474.3001.1,Non-viral
SRR20766474.3002.1,Non-viral
SRR20766474.3003.1,Non-viral
SRR20766474.3004.1,Non-viral
SRR20766474.3010.1,Non-viral
SRR20766474.3014.1,Non-viral
SRR20766474.3018.1,Non-viral
SRR20766474.3020.1,Non-viral
SRR20766474.3022.1,Non-viral
SRR20766474.3023.1,Non-viral
SRR20766474.3025.1,Non-viral
SRR20766474.3033.1,Non-viral
SRR20766474.3035.1,Non-viral
SRR20766474.3036.1,Non-viral
SRR20766474.3038.1,Non-viral
SRR20766474.3040.1,Non-viral
SRR20766474.3041.1,Non-viral
SRR20766474.3043.1,Non-viral
SRR20766474.3044.1,Non-viral
SRR20766474.3045.1,Non-viral
SRR20766474.3046.1,Non-viral
SRR20766474.3048.1,Non-viral
SRR20766474.3049.1,Non-viral
SRR20766474.3053.1,Non-viral
SRR20766474.3060.1,Non-viral
SRR20766474.3061.1,Non-viral
SRR20766474.3062.1,Non-viral
SRR20766474.3064.1,Non-viral
SRR20766474.3074.1,Non-viral
SRR20766474.3080.1,Non-viral
SRR20766474.3081.1,Non-viral
SRR20766474.3082.1,Non-viral
SRR20766474.3085.1,Non-viral
SRR20766474.3086.1,Non-viral
SRR20766474.3089.1,Non-viral
SRR20766474.3090.1,Non-viral
SRR20766474.3091.1,Non-viral
SRR20766474.3092.1,Non-viral
SRR20766474.3096.1,Non-viral
SRR20766474.3097.1,Non-viral
SRR20766474.3099.1,Non-viral
SRR20766474.3101.1,Non-viral
SRR20766474.3103.1,Non-viral
SRR20766474.3111.1,Non-viral
SRR20766474.3114.1,Non-viral
SRR20766474.3117.1,Non-viral
SRR20766474.3118.1,Non-viral
SRR20766474.3123.1,Non-viral
SRR20766474.3124.1,Non-viral
SRR20766474.3125.1,Non-viral
SRR20766474.3126.1,Non-viral
SRR20766474.3127.1,Non-viral
SRR20766474.3128.1,Non-viral
SRR20766474.3129.1,Non-viral
SRR20766474.3132.1,Non-viral
SRR20766474.3134.1,Non-viral
SRR20766474.3136.1,Non-viral
SRR20766474.3144.1,Non-viral
SRR20766474.3148.1,Non-viral
SRR20766474.3151.1,Non-viral
SRR20766474.3155.1,Non-viral
SRR20766474.3156.1,Non-viral
SRR20766474.3157.1,Non-viral
SRR20766474.3162.1,Non-viral
SRR20766474.3166.1,Non-viral
SRR20766474.3168.1,Non-viral
SRR20766474.3170.1,Non-viral
SRR20766474.3175.1,Non-viral
SRR20766474.3177.1,Non-viral
SRR20766474.3184.1,Non-viral
SRR20766474.3185.1,Non-viral
SRR20766474.3191.1,Non-viral
SRR20766474.3193.1,Non-viral
SRR20766474.3199.1,Non-viral
SRR20766474.3201.1,Non-viral
SRR20766474.3206.1,Non-viral
SRR20766474.3207.1,Non-viral
SRR20766474.3209.1,Non-viral
SRR20766474.3212.1,Non-viral
SRR20766474.3213.1,Non-viral
SRR20766474.3214.1,Non-viral
SRR20766474.3221.1,Non-viral
SRR20766474.3222.1,Non-viral
SRR20766474.3223.1,Non-viral
SRR20766474.3225.1,Non-viral
SRR20766474.3226.1,Non-viral
SRR20766474.3227.1,Non-viral
SRR20766474.3236.1,Non-viral
SRR20766474.3241.1,Non-viral
SRR20766474.3242.1,Non-viral
SRR20766474.3246.1,Non-viral
SRR20766474.3250.1,Non-viral
SRR20766474.3251.1,Non-viral
SRR20766474.3252.1,Non-viral
SRR20766474.3253.1,Non-viral
SRR20766474.3258.1,Non-viral
SRR20766474.3261.1,Non-viral
SRR20766474.3263.1,Non-viral
SRR20766474.3264.1,Non-viral
SRR20766474.3268.1,Non-viral
SRR20766474.3269.1,Non-viral
SRR20766474.3275.1,Non-viral
SRR20766474.3281.1,Non-viral
SRR20766474.3284.1,Non-viral
SRR20766474.3285.1,Non-viral
SRR20766474.3288.1,Non-viral
SRR20766474.3295.1,Non-viral
SRR20766474.3298.1,Non-viral
SRR20766474.3300.1,Non-viral
SRR20766474.3301.1,Non-viral
SRR20766474.3303.1,Non-viral
SRR20766474.3305.1,Non-viral
SRR20766474.3306.1,Non-viral
SRR20766474.3309.1,Non-viral
SRR20766474.3312.1,Non-viral
SRR20766474.3321.1,Non-viral
SRR20766474.3327.1,Non-viral
SRR20766474.3328.1,Non-viral
SRR20766474.3334.1,Non-viral
SRR20766474.3337.1,Non-viral
SRR20766474.3338.1,Non-viral
SRR20766474.3339.1,Non-viral
SRR20766474.3341.1,Non-viral
SRR20766474.3342.1,Non-viral
SRR20766474.3344.1,Non-viral
SRR20766474.3348.1,Non-viral
SRR20766474.3349.1,Non-viral
SRR20766474.3352.1,Non-viral
SRR20766474.3354.1,Non-viral
SRR20766474.3355.1,Non-viral
SRR20766474.3356.1,Non-viral
SRR20766474.3357.1,Non-viral
SRR20766474.3359.1,Non-viral
SRR20766474.3362.1,Non-viral
SRR20766474.3365.1,Non-viral
SRR20766474.3373.1,Non-viral
SRR20766474.3376.1,Non-viral
SRR20766474.3377.1,Non-viral
SRR20766474.3381.1,Non-viral
SRR20766474.3384.1,Non-viral
SRR20766474.3385.1,Non-viral
SRR20766474.3386.1,Non-viral
SRR20766474.3388.1,Non-viral
SRR20766474.3390.1,Non-viral
SRR20766474.3395.1,Non-viral
SRR20766474.3396.1,Non-viral
SRR20766474.3400.1,Non-viral
SRR20766474.3402.1,Non-viral
SRR20766474.3403.1,Non-viral
SRR20766474.3411.1,Non-viral
SRR20766474.3413.1,Non-viral
SRR20766474.3417.1,Non-viral
SRR20766474.3421.1,Non-viral
SRR20766474.3424.1,Non-viral
SRR20766474.3426.1,Non-viral
SRR20766474.3430.1,Non-viral
SRR20766474.3431.1,Non-viral
SRR20766474.3433.1,Non-viral
SRR20766474.3436.1,Non-viral
SRR20766474.3437.1,Non-viral
SRR20766474.3438.1,Non-viral
SRR20766474.3439.1,Non-viral
SRR20766474.3440.1,Non-viral
SRR20766474.3441.1,Non-viral
SRR20766474.3444.1,Non-viral
SRR20766474.3445.1,Non-viral
SRR20766474.3451.1,Non-viral
SRR20766474.3452.1,Non-viral
SRR20766474.3453.1,Non-viral
SRR20766474.3454.1,Non-viral
SRR20766474.3456.1,Non-viral
SRR20766474.3458.1,Non-viral
SRR20766474.3461.1,Non-viral
SRR20766474.3463.1,Non-viral
SRR20766474.3465.1,Non-viral
SRR20766474.3467.1,Non-viral
SRR20766474.3470.1,Non-viral
SRR20766474.3474.1,Non-viral
SRR20766474.3475.1,Non-viral
SRR20766474.3479.1,Non-viral
SRR20766474.3480.1,Non-viral
SRR20766474.3483.1,Non-viral
SRR20766474.3484.1,Non-viral
SRR20766474.3486.1,Non-viral
SRR20766474.3487.1,Non-viral
SRR20766474.3490.1,Non-viral
SRR20766474.3492.1,Non-viral
SRR20766474.3501.1,Non-viral
SRR20766474.3506.1,Non-viral
SRR20766474.3511.1,Non-viral
SRR20766474.3513.1,Non-viral
SRR20766474.3515.1,Non-viral
SRR20766474.3517.1,Non-viral
SRR20766474.3518.1,Non-viral
SRR20766474.3524.1,Non-viral
SRR20766474.3529.1,Non-viral
SRR20766474.3532.1,Non-viral
SRR20766474.3534.1,Non-viral
SRR20766474.3535.1,Non-viral
SRR20766474.3536.1,Non-viral
SRR20766474.3537.1,Non-viral
SRR20766474.3540.1,Non-viral
SRR20766474.3542.1,Non-viral
SRR20766474.3546.1,Non-viral
SRR20766474.3547.1,Non-viral
SRR20766474.3550.1,Non-viral
SRR20766474.3551.1,Non-viral
SRR20766474.3554.1,Non-viral
SRR20766474.3559.1,Non-viral
SRR20766474.3561.1,Non-viral
SRR20766474.3564.1,Non-viral
SRR20766474.3565.1,Non-viral
SRR20766474.3566.1,Non-viral
SRR20766474.3571.1,Non-viral
SRR20766474.3572.1,Non-viral
SRR20766474.3573.1,Non-viral
SRR20766474.3575.1,Non-viral
SRR20766474.3579.1,Non-viral
SRR20766474.3580.1,Non-viral
SRR20766474.3582.1,Non-viral
SRR20766474.3588.1,Non-viral
SRR20766474.3589.1,Non-viral
SRR20766474.3591.1,Non-viral
SRR20766474.3592.1,Non-viral
SRR20766474.3596.1,Non-viral
SRR20766474.3603.1,Non-viral
SRR20766474.3608.1,Non-viral
SRR20766474.3611.1,Non-viral
SRR20766474.3614.1,Non-viral
SRR20766474.3619.1,Non-viral
SRR20766474.3620.1,Non-viral
SRR20766474.3622.1,Non-viral
SRR20766474.3624.1,Non-viral
SRR20766474.3628.1,Non-viral
SRR20766474.3629.1,Non-viral
SRR20766474.3631.1,Non-viral
SRR20766474.3632.1,Non-viral
SRR20766474.3634.1,Non-viral
SRR20766474.3635.1,Non-viral
SRR20766474.3636.1,Non-viral
SRR20766474.3641.1,Non-viral
SRR20766474.3643.1,Non-viral
SRR20766474.3645.1,Non-viral
SRR20766474.3646.1,Non-viral
SRR20766474.3648.1,Non-viral
SRR20766474.3651.1,Non-viral
SRR20766474.3652.1,Non-viral
SRR20766474.3653.1,Non-viral
SRR20766474.3656.1,Non-viral
SRR20766474.3661.1,Non-viral
SRR20766474.3662.1,Non-viral
SRR20766474.3663.1,Non-viral
SRR20766474.3664.1,Non-viral
SRR20766474.3667.1,Non-viral
SRR20766474.3674.1,Non-viral
SRR20766474.3676.1,Non-viral
SRR20766474.3680.1,Non-viral
SRR20766474.3683.1,Non-viral
SRR20766474.3684.1,Non-viral
SRR20766474.3687.1,Non-viral
SRR20766474.3690.1,Non-viral
SRR20766474.3691.1,Non-viral
SRR20766474.3697.1,Non-viral
SRR20766474.3698.1,Non-viral
SRR20766474.3699.1,Non-viral
SRR20766474.3702.1,Non-viral
SRR20766474.3708.1,Non-viral
SRR20766474.3713.1,Non-viral
SRR20766474.3714.1,Non-viral
SRR20766474.3718.1,Non-viral
SRR20766474.3720.1,Non-viral
SRR20766474.3723.1,Non-viral
SRR20766474.3724.1,Non-viral
SRR20766474.3726.1,Non-viral
SRR20766474.3727.1,Non-viral
SRR20766474.3729.1,Non-viral
SRR20766474.3730.1,Non-viral
SRR20766474.3733.1,Non-viral
SRR20766474.3740.1,Non-viral
SRR20766474.3742.1,Non-viral
SRR20766474.3752.1,Non-viral
SRR20766474.3753.1,Non-viral
SRR20766474.3756.1,Non-viral
SRR20766474.3757.1,Non-viral
SRR20766474.3760.1,Non-viral
SRR20766474.3770.1,Non-viral
SRR20766474.3776.1,Non-viral
SRR20766474.3777.1,Non-viral
SRR20766474.3778.1,Non-viral
SRR20766474.3779.1,Non-viral
SRR20766474.3781.1,Non-viral
SRR20766474.3783.1,Non-viral
SRR20766474.3785.1,Non-viral
SRR20766474.3786.1,Non-viral
SRR20766474.3787.1,Non-viral
SRR20766474.3788.1,Non-viral
SRR20766474.3789.1,Non-viral
SRR20766474.3790.1,Non-viral
SRR20766474.3792.1,Non-viral
SRR20766474.3796.1,Non-viral
SRR20766474.3798.1,Non-viral
SRR20766474.3806.1,Non-viral
SRR20766474.3808.1,Non-viral
SRR20766474.3810.1,Non-viral
SRR20766474.3811.1,Non-viral
SRR20766474.3814.1,Non-viral
SRR20766474.3818.1,Non-viral
SRR20766474.3822.1,Non-viral
SRR20766474.3825.1,Non-viral
SRR20766474.3829.1,Non-viral
SRR20766474.3833.1,Non-viral
SRR20766474.3834.1,Non-viral
SRR20766474.3838.1,Non-viral
SRR20766474.3844.1,Non-viral
SRR20766474.3847.1,Non-viral
SRR20766474.3849.1,Non-viral
SRR20766474.3851.1,Non-viral
SRR20766474.3856.1,Non-viral
SRR20766474.3858.1,Non-viral
SRR20766474.3864.1,Non-viral
SRR20766474.3868.1,Non-viral
SRR20766474.3870.1,Non-viral
SRR20766474.3873.1,Non-viral
SRR20766474.3880.1,Non-viral
SRR20766474.3881.1,Non-viral
SRR20766474.3886.1,Non-viral
SRR20766474.3887.1,Non-viral
SRR20766474.3888.1,Non-viral
SRR20766474.3889.1,Non-viral
SRR20766474.3890.1,Non-viral
SRR20766474.3893.1,Non-viral
SRR20766474.3897.1,Non-viral
SRR20766474.3899.1,Non-viral
SRR20766474.3903.1,Non-viral
SRR20766474.3910.1,Non-viral
SRR20766474.3911.1,Non-viral
SRR20766474.3912.1,Non-viral
SRR20766474.3913.1,Non-viral
SRR20766474.3915.1,Non-viral
SRR20766474.3916.1,Non-viral
SRR20766474.3922.1,Non-viral
SRR20766474.3929.1,Non-viral
SRR20766474.3933.1,Non-viral
SRR20766474.3934.1,Non-viral
SRR20766474.3937.1,Non-viral
SRR20766474.3938.1,Non-viral
SRR20766474.3942.1,Non-viral
SRR20766474.3945.1,Non-viral
SRR20766474.3947.1,Non-viral
SRR20766474.3951.1,Non-viral
SRR20766474.3952.1,Non-viral
SRR20766474.3955.1,Non-viral
SRR20766474.3958.1,Non-viral
SRR20766474.3966.1,Non-viral
SRR20766474.3971.1,Non-viral
SRR20766474.3972.1,Non-viral
SRR20766474.3973.1,Non-viral
SRR20766474.3974.1,Non-viral
SRR20766474.3975.1,Non-viral
SRR20766474.3980.1,Non-viral
SRR20766474.3981.1,Non-viral
SRR20766474.3985.1,Non-viral
SRR20766474.3986.1,Non-viral
SRR20766474.3987.1,Non-viral
SRR20766474.3989.1,Non-viral
SRR20766474.3994.1,Non-viral
SRR20766474.3995.1,Non-viral
SRR20766474.3997.1,Non-viral
SRR20766474.3999.1,Non-viral
SRR20766474.4001.1,Non-viral
SRR20766474.4011.1,Non-viral
SRR20766474.4012.1,Non-viral
SRR20766474.4013.1,Non-viral
SRR20766474.4015.1,Non-viral
SRR20766474.4016.1,Non-viral
SRR20766474.4019.1,Non-viral
SRR20766474.4022.1,Non-viral
SRR20766474.4024.1,Non-viral
SRR20766474.4025.1,Non-viral
SRR20766474.4028.1,Non-viral
SRR20766474.4029.1,Non-viral
SRR20766474.4031.1,Non-viral
SRR20766474.4035.1,Non-viral
SRR20766474.4037.1,Non-viral
SRR20766474.4039.1,Non-viral
SRR20766474.4040.1,Non-viral
SRR20766474.4043.1,Non-viral
SRR20766474.4045.1,Non-viral
SRR20766474.4046.1,Non-viral
SRR20766474.4047.1,Non-viral
SRR20766474.4048.1,Non-viral
SRR20766474.4057.1,Non-viral
SRR20766474.4060.1,Non-viral
SRR20766474.4062.1,Non-viral
SRR20766474.4065.1,Non-viral
SRR20766474.4066.1,Non-viral
SRR20766474.4067.1,Non-viral
SRR20766474.4068.1,Non-viral
SRR20766474.4070.1,Non-viral
